Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_lr0125_4gpu --set train_steps=3325 --set leon_lr=0.0125 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=input
W0514 13:04:53.922000 879683 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 13:04:53.922000 879683 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 13:04:53.922000 879683 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 13:04:53.922000 879683 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_lr0125_4gpu/train.log
step:0/3325 val_loss:10.96873 train_time:0.000s step_avg:nanms
step:1/3325 train_time:2.767s step_avg:2767.29ms
step:2/3325 train_time:3.423s step_avg:1711.45ms
step:3/3325 train_time:4.070s step_avg:1356.51ms
step:4/3325 train_time:4.722s step_avg:1180.62ms
step:5/3325 train_time:5.375s step_avg:1075.03ms
step:6/3325 train_time:6.027s step_avg:1004.43ms
step:7/3325 train_time:6.677s step_avg:953.92ms
step:8/3325 train_time:7.331s step_avg:916.37ms
step:9/3325 train_time:7.983s step_avg:887.02ms
step:10/3325 train_time:8.636s step_avg:863.62ms
step:11/3325 train_time:9.289s step_avg:844.44ms
step:12/3325 train_time:9.954s step_avg:829.52ms
step:13/3325 train_time:10.608s step_avg:816.04ms
step:14/3325 train_time:11.261s step_avg:804.36ms
step:15/3325 train_time:11.919s step_avg:794.63ms
step:16/3325 train_time:12.572s step_avg:785.74ms
step:17/3325 train_time:13.232s step_avg:778.35ms
step:18/3325 train_time:13.885s step_avg:771.40ms
step:19/3325 train_time:14.542s step_avg:765.38ms
step:20/3325 train_time:15.198s step_avg:759.92ms
step:21/3325 train_time:15.856s step_avg:755.04ms
step:22/3325 train_time:16.510s step_avg:750.47ms
step:23/3325 train_time:17.171s step_avg:746.55ms
step:24/3325 train_time:17.823s step_avg:742.60ms
step:25/3325 train_time:18.479s step_avg:739.18ms
step:26/3325 train_time:19.140s step_avg:736.17ms
step:27/3325 train_time:19.795s step_avg:733.14ms
step:28/3325 train_time:20.454s step_avg:730.50ms
step:29/3325 train_time:21.107s step_avg:727.83ms
step:30/3325 train_time:21.765s step_avg:725.49ms
step:31/3325 train_time:22.423s step_avg:723.33ms
step:32/3325 train_time:23.087s step_avg:721.47ms
step:33/3325 train_time:23.742s step_avg:719.44ms
step:34/3325 train_time:24.399s step_avg:717.62ms
step:35/3325 train_time:25.057s step_avg:715.91ms
step:36/3325 train_time:25.715s step_avg:714.32ms
