Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/input_1500_4gpu --set train_steps=1500 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=input
W0514 11:23:27.255000 449408 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 11:23:27.255000 449408 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 11:23:27.255000 449408 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 11:23:27.255000 449408 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/input_1500_4gpu/train.log
step:99/1500 train_time:67.390s step_avg:680.71ms
step:100/1500 train_time:68.055s step_avg:680.55ms
step:101/1500 train_time:68.718s step_avg:680.38ms
step:102/1500 train_time:69.381s step_avg:680.21ms
step:103/1500 train_time:70.048s step_avg:680.07ms
step:104/1500 train_time:70.711s step_avg:679.92ms
step:105/1500 train_time:71.375s step_avg:679.76ms
step:106/1500 train_time:72.042s step_avg:679.64ms
step:107/1500 train_time:72.705s step_avg:679.48ms
step:108/1500 train_time:73.369s step_avg:679.35ms
step:109/1500 train_time:74.034s step_avg:679.21ms
step:110/1500 train_time:74.696s step_avg:679.05ms
step:111/1500 train_time:75.361s step_avg:678.93ms
step:112/1500 train_time:76.027s step_avg:678.81ms
step:113/1500 train_time:76.688s step_avg:678.65ms
step:114/1500 train_time:77.351s step_avg:678.52ms
step:115/1500 train_time:78.016s step_avg:678.40ms
step:116/1500 train_time:78.677s step_avg:678.25ms
step:117/1500 train_time:79.347s step_avg:678.18ms
step:118/1500 train_time:80.011s step_avg:678.06ms
step:119/1500 train_time:80.673s step_avg:677.92ms
step:120/1500 train_time:81.336s step_avg:677.80ms
step:121/1500 train_time:81.998s step_avg:677.67ms
step:122/1500 train_time:82.668s step_avg:677.60ms
step:123/1500 train_time:83.330s step_avg:677.48ms
step:124/1500 train_time:83.994s step_avg:677.37ms
step:125/1500 train_time:84.658s step_avg:677.26ms
step:125/1500 val_loss:4.81237 train_time:84.668s step_avg:677.34ms
step:126/1500 train_time:85.338s step_avg:677.28ms
step:127/1500 train_time:86.001s step_avg:677.17ms
step:128/1500 train_time:86.668s step_avg:677.09ms
step:129/1500 train_time:87.333s step_avg:677.00ms
step:130/1500 train_time:87.998s step_avg:676.91ms
step:131/1500 train_time:88.660s step_avg:676.79ms
step:132/1500 train_time:89.326s step_avg:676.71ms
step:133/1500 train_time:89.994s step_avg:676.64ms
step:134/1500 train_time:90.656s step_avg:676.53ms
step:135/1500 train_time:91.319s step_avg:676.43ms
step:136/1500 train_time:91.980s step_avg:676.32ms
step:137/1500 train_time:92.642s step_avg:676.22ms
step:138/1500 train_time:93.309s step_avg:676.15ms
step:139/1500 train_time:93.973s step_avg:676.07ms
step:140/1500 train_time:94.636s step_avg:675.97ms
step:141/1500 train_time:95.301s step_avg:675.89ms
step:142/1500 train_time:95.962s step_avg:675.79ms
step:143/1500 train_time:96.628s step_avg:675.72ms
step:144/1500 train_time:97.293s step_avg:675.65ms
step:145/1500 train_time:97.955s step_avg:675.55ms
step:146/1500 train_time:98.620s step_avg:675.48ms
step:147/1500 train_time:99.281s step_avg:675.38ms
step:148/1500 train_time:99.944s step_avg:675.30ms
step:149/1500 train_time:100.613s step_avg:675.26ms
step:150/1500 train_time:101.275s step_avg:675.17ms
step:151/1500 train_time:101.938s step_avg:675.09ms
step:152/1500 train_time:102.600s step_avg:675.00ms
step:153/1500 train_time:103.263s step_avg:674.92ms
step:154/1500 train_time:103.932s step_avg:674.88ms
step:155/1500 train_time:104.595s step_avg:674.80ms
step:156/1500 train_time:105.256s step_avg:674.72ms
step:157/1500 train_time:105.920s step_avg:674.65ms
step:158/1500 train_time:106.582s step_avg:674.57ms
step:159/1500 train_time:107.244s step_avg:674.49ms
step:160/1500 train_time:107.915s step_avg:674.47ms
step:161/1500 train_time:108.575s step_avg:674.38ms
step:162/1500 train_time:109.238s step_avg:674.31ms
step:163/1500 train_time:109.903s step_avg:674.25ms
step:164/1500 train_time:110.567s step_avg:674.19ms
step:165/1500 train_time:111.234s step_avg:674.15ms
step:166/1500 train_time:111.898s step_avg:674.08ms
step:167/1500 train_time:112.561s step_avg:674.02ms
step:168/1500 train_time:113.224s step_avg:673.95ms
step:169/1500 train_time:113.889s step_avg:673.90ms
step:170/1500 train_time:114.551s step_avg:673.83ms
step:171/1500 train_time:115.217s step_avg:673.78ms
step:172/1500 train_time:115.879s step_avg:673.71ms
step:173/1500 train_time:116.539s step_avg:673.64ms
step:174/1500 train_time:117.205s step_avg:673.59ms
step:175/1500 train_time:117.870s step_avg:673.54ms
step:176/1500 train_time:118.531s step_avg:673.47ms
step:177/1500 train_time:119.196s step_avg:673.42ms
step:178/1500 train_time:119.857s step_avg:673.35ms
step:179/1500 train_time:120.521s step_avg:673.30ms
step:180/1500 train_time:121.182s step_avg:673.24ms
step:181/1500 train_time:121.845s step_avg:673.18ms
step:182/1500 train_time:122.514s step_avg:673.15ms
step:183/1500 train_time:123.175s step_avg:673.09ms
step:184/1500 train_time:123.839s step_avg:673.04ms
step:185/1500 train_time:124.500s step_avg:672.97ms
step:186/1500 train_time:125.163s step_avg:672.92ms
step:187/1500 train_time:125.828s step_avg:672.88ms
step:188/1500 train_time:126.493s step_avg:672.84ms
step:189/1500 train_time:127.156s step_avg:672.78ms
step:190/1500 train_time:127.819s step_avg:672.73ms
step:191/1500 train_time:128.684s step_avg:673.74ms
step:192/1500 train_time:129.347s step_avg:673.68ms
step:193/1500 train_time:130.014s step_avg:673.65ms
step:194/1500 train_time:130.677s step_avg:673.59ms
step:195/1500 train_time:131.338s step_avg:673.53ms
step:196/1500 train_time:132.006s step_avg:673.50ms
step:197/1500 train_time:132.671s step_avg:673.46ms
step:198/1500 train_time:133.335s step_avg:673.41ms
step:199/1500 train_time:134.002s step_avg:673.37ms
step:200/1500 train_time:134.662s step_avg:673.31ms
step:201/1500 train_time:135.333s step_avg:673.30ms
step:202/1500 train_time:135.998s step_avg:673.26ms
step:203/1500 train_time:136.672s step_avg:673.26ms
step:204/1500 train_time:137.334s step_avg:673.20ms
step:205/1500 train_time:137.998s step_avg:673.16ms
step:206/1500 train_time:138.662s step_avg:673.12ms
step:207/1500 train_time:139.333s step_avg:673.11ms
step:208/1500 train_time:139.995s step_avg:673.05ms
step:209/1500 train_time:140.660s step_avg:673.02ms
step:210/1500 train_time:141.323s step_avg:672.97ms
step:211/1500 train_time:141.991s step_avg:672.94ms
step:212/1500 train_time:142.652s step_avg:672.89ms
step:213/1500 train_time:143.317s step_avg:672.85ms
step:214/1500 train_time:143.981s step_avg:672.81ms
step:215/1500 train_time:144.647s step_avg:672.78ms
step:216/1500 train_time:145.317s step_avg:672.76ms
step:217/1500 train_time:145.980s step_avg:672.72ms
step:218/1500 train_time:146.643s step_avg:672.68ms
step:219/1500 train_time:147.312s step_avg:672.66ms
step:220/1500 train_time:147.974s step_avg:672.61ms
step:221/1500 train_time:148.637s step_avg:672.57ms
step:222/1500 train_time:149.302s step_avg:672.53ms
step:223/1500 train_time:149.969s step_avg:672.51ms
step:224/1500 train_time:150.631s step_avg:672.46ms
step:225/1500 train_time:151.297s step_avg:672.43ms
step:226/1500 train_time:151.958s step_avg:672.38ms
step:227/1500 train_time:152.630s step_avg:672.38ms
step:228/1500 train_time:153.288s step_avg:672.32ms
step:229/1500 train_time:153.956s step_avg:672.30ms
step:230/1500 train_time:154.619s step_avg:672.26ms
step:231/1500 train_time:155.286s step_avg:672.24ms
step:232/1500 train_time:155.945s step_avg:672.18ms
step:233/1500 train_time:156.615s step_avg:672.17ms
step:234/1500 train_time:157.276s step_avg:672.12ms
step:235/1500 train_time:157.937s step_avg:672.07ms
step:236/1500 train_time:158.601s step_avg:672.04ms
step:237/1500 train_time:159.262s step_avg:671.99ms
step:238/1500 train_time:159.926s step_avg:671.96ms
step:239/1500 train_time:160.593s step_avg:671.94ms
step:240/1500 train_time:161.253s step_avg:671.89ms
step:241/1500 train_time:161.919s step_avg:671.86ms
step:242/1500 train_time:162.580s step_avg:671.82ms
