Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_lr025_4gpu --set train_steps=3325 --set leon_lr=0.025 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=input
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_lr025_4gpu/train.log
step:99/3325 train_time:67.847s step_avg:685.32ms
step:100/3325 train_time:68.510s step_avg:685.10ms
step:101/3325 train_time:69.176s step_avg:684.91ms
step:102/3325 train_time:69.841s step_avg:684.71ms
step:103/3325 train_time:70.511s step_avg:684.58ms
step:104/3325 train_time:71.175s step_avg:684.37ms
step:105/3325 train_time:71.840s step_avg:684.19ms
step:106/3325 train_time:72.502s step_avg:683.98ms
step:107/3325 train_time:73.177s step_avg:683.89ms
step:108/3325 train_time:73.840s step_avg:683.71ms
step:109/3325 train_time:74.514s step_avg:683.61ms
step:110/3325 train_time:75.178s step_avg:683.43ms
step:111/3325 train_time:75.854s step_avg:683.37ms
step:112/3325 train_time:76.515s step_avg:683.17ms
step:113/3325 train_time:77.179s step_avg:683.00ms
step:114/3325 train_time:77.841s step_avg:682.81ms
step:115/3325 train_time:78.507s step_avg:682.67ms
step:116/3325 train_time:79.172s step_avg:682.51ms
step:117/3325 train_time:79.835s step_avg:682.35ms
step:118/3325 train_time:80.496s step_avg:682.17ms
step:119/3325 train_time:81.159s step_avg:682.01ms
step:120/3325 train_time:81.821s step_avg:681.84ms
step:121/3325 train_time:82.484s step_avg:681.69ms
step:122/3325 train_time:83.155s step_avg:681.60ms
step:123/3325 train_time:83.817s step_avg:681.44ms
step:124/3325 train_time:84.479s step_avg:681.28ms
step:125/3325 train_time:85.142s step_avg:681.13ms
step:125/3325 val_loss:4.76723 train_time:85.152s step_avg:681.21ms
step:126/3325 train_time:85.812s step_avg:681.05ms
step:127/3325 train_time:86.473s step_avg:680.89ms
step:128/3325 train_time:87.141s step_avg:680.79ms
step:129/3325 train_time:87.805s step_avg:680.66ms
step:130/3325 train_time:88.466s step_avg:680.51ms
step:131/3325 train_time:89.131s step_avg:680.39ms
step:132/3325 train_time:89.792s step_avg:680.24ms
step:133/3325 train_time:90.454s step_avg:680.11ms
step:134/3325 train_time:91.125s step_avg:680.04ms
step:135/3325 train_time:91.786s step_avg:679.90ms
