Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/auto_1500_4gpu --set train_steps=1500 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=auto
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/auto_1500_4gpu/train.log
step:99/1500 train_time:49.993s step_avg:504.98ms
step:100/1500 train_time:50.480s step_avg:504.80ms
step:101/1500 train_time:50.968s step_avg:504.63ms
step:102/1500 train_time:51.454s step_avg:504.45ms
step:103/1500 train_time:51.937s step_avg:504.24ms
step:104/1500 train_time:52.422s step_avg:504.06ms
step:105/1500 train_time:52.907s step_avg:503.87ms
step:106/1500 train_time:53.393s step_avg:503.70ms
step:107/1500 train_time:53.879s step_avg:503.54ms
step:108/1500 train_time:54.363s step_avg:503.36ms
step:109/1500 train_time:54.849s step_avg:503.21ms
step:110/1500 train_time:55.334s step_avg:503.04ms
step:111/1500 train_time:55.818s step_avg:502.86ms
step:112/1500 train_time:56.302s step_avg:502.70ms
step:113/1500 train_time:56.790s step_avg:502.57ms
step:114/1500 train_time:57.276s step_avg:502.42ms
step:115/1500 train_time:57.762s step_avg:502.28ms
step:116/1500 train_time:58.248s step_avg:502.14ms
step:117/1500 train_time:58.734s step_avg:502.00ms
step:118/1500 train_time:59.218s step_avg:501.85ms
step:119/1500 train_time:59.703s step_avg:501.71ms
step:120/1500 train_time:60.189s step_avg:501.57ms
step:121/1500 train_time:60.675s step_avg:501.45ms
step:122/1500 train_time:61.162s step_avg:501.33ms
step:123/1500 train_time:61.650s step_avg:501.22ms
step:124/1500 train_time:62.136s step_avg:501.10ms
step:125/1500 train_time:62.620s step_avg:500.96ms
step:125/1500 val_loss:4.82577 train_time:62.631s step_avg:501.05ms
step:126/1500 train_time:63.127s step_avg:501.01ms
step:127/1500 train_time:63.614s step_avg:500.90ms
step:128/1500 train_time:64.102s step_avg:500.80ms
step:129/1500 train_time:64.588s step_avg:500.68ms
step:130/1500 train_time:65.076s step_avg:500.58ms
step:131/1500 train_time:65.561s step_avg:500.47ms
step:132/1500 train_time:66.049s step_avg:500.37ms
step:133/1500 train_time:66.535s step_avg:500.26ms
step:134/1500 train_time:67.024s step_avg:500.18ms
step:135/1500 train_time:67.513s step_avg:500.10ms
step:136/1500 train_time:67.998s step_avg:499.99ms
step:137/1500 train_time:68.485s step_avg:499.89ms
step:138/1500 train_time:68.973s step_avg:499.80ms
step:139/1500 train_time:69.458s step_avg:499.70ms
step:140/1500 train_time:69.944s step_avg:499.60ms
step:141/1500 train_time:70.430s step_avg:499.50ms
step:142/1500 train_time:70.915s step_avg:499.40ms
step:143/1500 train_time:71.399s step_avg:499.30ms
step:144/1500 train_time:71.886s step_avg:499.21ms
step:145/1500 train_time:72.372s step_avg:499.12ms
step:146/1500 train_time:72.857s step_avg:499.02ms
step:147/1500 train_time:73.343s step_avg:498.93ms
step:148/1500 train_time:73.828s step_avg:498.84ms
step:149/1500 train_time:74.314s step_avg:498.75ms
step:150/1500 train_time:74.798s step_avg:498.65ms
step:151/1500 train_time:75.285s step_avg:498.58ms
step:152/1500 train_time:75.773s step_avg:498.50ms
step:153/1500 train_time:76.257s step_avg:498.41ms
step:154/1500 train_time:76.745s step_avg:498.34ms
step:155/1500 train_time:77.230s step_avg:498.26ms
step:156/1500 train_time:77.715s step_avg:498.17ms
step:157/1500 train_time:78.200s step_avg:498.09ms
step:158/1500 train_time:78.686s step_avg:498.01ms
step:159/1500 train_time:79.173s step_avg:497.94ms
step:160/1500 train_time:79.659s step_avg:497.87ms
step:161/1500 train_time:80.144s step_avg:497.79ms
step:162/1500 train_time:80.631s step_avg:497.72ms
step:163/1500 train_time:81.116s step_avg:497.64ms
step:164/1500 train_time:81.600s step_avg:497.56ms
step:165/1500 train_time:82.087s step_avg:497.49ms
step:166/1500 train_time:82.573s step_avg:497.43ms
step:167/1500 train_time:83.059s step_avg:497.36ms
step:168/1500 train_time:83.545s step_avg:497.29ms
step:169/1500 train_time:84.031s step_avg:497.23ms
step:170/1500 train_time:84.517s step_avg:497.16ms
step:171/1500 train_time:85.003s step_avg:497.09ms
step:172/1500 train_time:85.489s step_avg:497.03ms
step:173/1500 train_time:85.974s step_avg:496.96ms
step:174/1500 train_time:86.459s step_avg:496.89ms
step:175/1500 train_time:86.946s step_avg:496.83ms
step:176/1500 train_time:87.431s step_avg:496.77ms
step:177/1500 train_time:87.918s step_avg:496.71ms
step:178/1500 train_time:88.402s step_avg:496.64ms
step:179/1500 train_time:88.889s step_avg:496.59ms
step:180/1500 train_time:89.373s step_avg:496.52ms
step:181/1500 train_time:89.860s step_avg:496.46ms
step:182/1500 train_time:90.346s step_avg:496.41ms
step:183/1500 train_time:90.829s step_avg:496.33ms
step:184/1500 train_time:91.315s step_avg:496.28ms
step:185/1500 train_time:91.800s step_avg:496.22ms
step:186/1500 train_time:92.286s step_avg:496.16ms
step:187/1500 train_time:92.773s step_avg:496.11ms
step:188/1500 train_time:93.258s step_avg:496.05ms
step:189/1500 train_time:93.743s step_avg:496.00ms
step:190/1500 train_time:94.230s step_avg:495.95ms
step:191/1500 train_time:94.881s step_avg:496.76ms
step:192/1500 train_time:95.368s step_avg:496.71ms
step:193/1500 train_time:95.852s step_avg:496.64ms
step:194/1500 train_time:96.337s step_avg:496.58ms
step:195/1500 train_time:96.824s step_avg:496.53ms
step:196/1500 train_time:97.310s step_avg:496.48ms
step:197/1500 train_time:97.794s step_avg:496.41ms
step:198/1500 train_time:98.280s step_avg:496.36ms
step:199/1500 train_time:98.766s step_avg:496.31ms
step:200/1500 train_time:99.251s step_avg:496.25ms
step:201/1500 train_time:99.736s step_avg:496.20ms
step:202/1500 train_time:100.223s step_avg:496.15ms
step:203/1500 train_time:100.708s step_avg:496.10ms
step:204/1500 train_time:101.191s step_avg:496.04ms
step:205/1500 train_time:101.678s step_avg:495.99ms
step:206/1500 train_time:102.164s step_avg:495.94ms
step:207/1500 train_time:102.651s step_avg:495.90ms
step:208/1500 train_time:103.137s step_avg:495.85ms
step:209/1500 train_time:103.623s step_avg:495.80ms
step:210/1500 train_time:104.107s step_avg:495.75ms
step:211/1500 train_time:104.592s step_avg:495.69ms
step:212/1500 train_time:105.078s step_avg:495.65ms
step:213/1500 train_time:105.566s step_avg:495.61ms
step:214/1500 train_time:106.051s step_avg:495.56ms
step:215/1500 train_time:106.536s step_avg:495.52ms
step:216/1500 train_time:107.019s step_avg:495.46ms
step:217/1500 train_time:107.505s step_avg:495.42ms
step:218/1500 train_time:107.991s step_avg:495.37ms
step:219/1500 train_time:108.477s step_avg:495.33ms
step:220/1500 train_time:108.964s step_avg:495.29ms
step:221/1500 train_time:109.449s step_avg:495.25ms
step:222/1500 train_time:109.933s step_avg:495.19ms
step:223/1500 train_time:110.417s step_avg:495.15ms
step:224/1500 train_time:110.904s step_avg:495.11ms
step:225/1500 train_time:111.390s step_avg:495.07ms
step:226/1500 train_time:111.876s step_avg:495.03ms
step:227/1500 train_time:112.364s step_avg:495.00ms
step:228/1500 train_time:112.850s step_avg:494.96ms
step:229/1500 train_time:113.335s step_avg:494.91ms
step:230/1500 train_time:113.820s step_avg:494.87ms
step:231/1500 train_time:114.305s step_avg:494.83ms
step:232/1500 train_time:114.791s step_avg:494.79ms
step:233/1500 train_time:115.276s step_avg:494.75ms
step:234/1500 train_time:115.762s step_avg:494.71ms
step:235/1500 train_time:116.249s step_avg:494.68ms
step:236/1500 train_time:116.734s step_avg:494.63ms
step:237/1500 train_time:117.221s step_avg:494.61ms
step:238/1500 train_time:117.706s step_avg:494.56ms
step:239/1500 train_time:118.191s step_avg:494.52ms
step:240/1500 train_time:118.677s step_avg:494.49ms
step:241/1500 train_time:119.163s step_avg:494.45ms
step:242/1500 train_time:119.649s step_avg:494.42ms
step:243/1500 train_time:120.134s step_avg:494.38ms
step:244/1500 train_time:120.618s step_avg:494.34ms
step:245/1500 train_time:121.104s step_avg:494.30ms
step:246/1500 train_time:121.590s step_avg:494.27ms
step:247/1500 train_time:122.075s step_avg:494.23ms
step:248/1500 train_time:122.561s step_avg:494.20ms
step:249/1500 train_time:123.048s step_avg:494.17ms
step:250/1500 train_time:123.534s step_avg:494.14ms
step:250/1500 val_loss:4.18331 train_time:123.544s step_avg:487.30ms
step:251/1500 train_time:124.037s step_avg:494.17ms
step:252/1500 train_time:124.522s step_avg:494.13ms
step:253/1500 train_time:125.007s step_avg:494.10ms
step:254/1500 train_time:125.490s step_avg:494.06ms
step:255/1500 train_time:125.976s step_avg:494.02ms
step:256/1500 train_time:126.461s step_avg:493.99ms
step:257/1500 train_time:126.946s step_avg:493.95ms
step:258/1500 train_time:127.430s step_avg:493.91ms
step:259/1500 train_time:127.917s step_avg:493.89ms
step:260/1500 train_time:128.402s step_avg:493.85ms
step:261/1500 train_time:128.887s step_avg:493.82ms
step:262/1500 train_time:129.373s step_avg:493.79ms
step:263/1500 train_time:129.861s step_avg:493.77ms
step:264/1500 train_time:130.347s step_avg:493.74ms
step:265/1500 train_time:130.832s step_avg:493.71ms
step:266/1500 train_time:131.318s step_avg:493.68ms
step:267/1500 train_time:131.803s step_avg:493.64ms
step:268/1500 train_time:132.289s step_avg:493.61ms
step:269/1500 train_time:132.775s step_avg:493.59ms
step:270/1500 train_time:133.264s step_avg:493.57ms
step:271/1500 train_time:133.749s step_avg:493.54ms
step:272/1500 train_time:134.234s step_avg:493.51ms
step:273/1500 train_time:134.720s step_avg:493.48ms
step:274/1500 train_time:135.206s step_avg:493.45ms
step:275/1500 train_time:135.689s step_avg:493.42ms
step:276/1500 train_time:136.175s step_avg:493.39ms
step:277/1500 train_time:136.662s step_avg:493.36ms
step:278/1500 train_time:137.148s step_avg:493.34ms
step:279/1500 train_time:137.633s step_avg:493.31ms
step:280/1500 train_time:138.121s step_avg:493.29ms
step:281/1500 train_time:138.607s step_avg:493.26ms
step:282/1500 train_time:139.091s step_avg:493.23ms
step:283/1500 train_time:139.577s step_avg:493.21ms
step:284/1500 train_time:140.064s step_avg:493.18ms
step:285/1500 train_time:140.550s step_avg:493.16ms
step:286/1500 train_time:141.035s step_avg:493.13ms
step:287/1500 train_time:141.522s step_avg:493.11ms
step:288/1500 train_time:142.007s step_avg:493.08ms
step:289/1500 train_time:142.492s step_avg:493.05ms
step:290/1500 train_time:142.979s step_avg:493.03ms
step:291/1500 train_time:143.466s step_avg:493.01ms
step:292/1500 train_time:143.950s step_avg:492.98ms
step:293/1500 train_time:144.437s step_avg:492.96ms
step:294/1500 train_time:144.924s step_avg:492.94ms
step:295/1500 train_time:145.410s step_avg:492.92ms
step:296/1500 train_time:145.896s step_avg:492.89ms
step:297/1500 train_time:146.383s step_avg:492.87ms
step:298/1500 train_time:146.870s step_avg:492.85ms
step:299/1500 train_time:147.354s step_avg:492.82ms
step:300/1500 train_time:147.839s step_avg:492.80ms
step:301/1500 train_time:148.326s step_avg:492.78ms
step:302/1500 train_time:148.811s step_avg:492.75ms
step:303/1500 train_time:149.296s step_avg:492.73ms
step:304/1500 train_time:149.785s step_avg:492.71ms
step:305/1500 train_time:150.271s step_avg:492.69ms
step:306/1500 train_time:150.759s step_avg:492.68ms
step:307/1500 train_time:151.246s step_avg:492.66ms
step:308/1500 train_time:151.731s step_avg:492.63ms
step:309/1500 train_time:152.219s step_avg:492.62ms
step:310/1500 train_time:152.704s step_avg:492.59ms
step:311/1500 train_time:153.189s step_avg:492.57ms
step:312/1500 train_time:153.676s step_avg:492.55ms
step:313/1500 train_time:154.162s step_avg:492.53ms
step:314/1500 train_time:154.649s step_avg:492.51ms
step:315/1500 train_time:155.134s step_avg:492.49ms
step:316/1500 train_time:155.620s step_avg:492.47ms
step:317/1500 train_time:156.105s step_avg:492.45ms
step:318/1500 train_time:156.590s step_avg:492.42ms
step:319/1500 train_time:157.077s step_avg:492.40ms
step:320/1500 train_time:157.563s step_avg:492.38ms
step:321/1500 train_time:158.048s step_avg:492.36ms
step:322/1500 train_time:158.532s step_avg:492.34ms
step:323/1500 train_time:159.017s step_avg:492.31ms
step:324/1500 train_time:159.503s step_avg:492.29ms
step:325/1500 train_time:159.988s step_avg:492.27ms
step:326/1500 train_time:160.475s step_avg:492.25ms
step:327/1500 train_time:160.962s step_avg:492.24ms
step:328/1500 train_time:161.449s step_avg:492.22ms
step:329/1500 train_time:161.934s step_avg:492.20ms
step:330/1500 train_time:162.422s step_avg:492.19ms
step:331/1500 train_time:162.908s step_avg:492.17ms
step:332/1500 train_time:163.392s step_avg:492.15ms
step:333/1500 train_time:163.879s step_avg:492.13ms
step:334/1500 train_time:164.366s step_avg:492.11ms
step:335/1500 train_time:164.850s step_avg:492.09ms
step:336/1500 train_time:165.337s step_avg:492.07ms
step:337/1500 train_time:165.823s step_avg:492.06ms
step:338/1500 train_time:166.310s step_avg:492.04ms
step:339/1500 train_time:166.794s step_avg:492.02ms
step:340/1500 train_time:167.282s step_avg:492.01ms
step:341/1500 train_time:167.769s step_avg:491.99ms
step:342/1500 train_time:168.254s step_avg:491.97ms
step:343/1500 train_time:168.742s step_avg:491.96ms
step:344/1500 train_time:169.229s step_avg:491.95ms
step:345/1500 train_time:169.717s step_avg:491.93ms
step:346/1500 train_time:170.202s step_avg:491.91ms
step:347/1500 train_time:170.688s step_avg:491.90ms
step:348/1500 train_time:171.174s step_avg:491.88ms
step:349/1500 train_time:171.662s step_avg:491.87ms
step:350/1500 train_time:172.149s step_avg:491.85ms
step:351/1500 train_time:172.635s step_avg:491.84ms
step:352/1500 train_time:173.123s step_avg:491.83ms
step:353/1500 train_time:173.609s step_avg:491.81ms
step:354/1500 train_time:174.092s step_avg:491.78ms
step:355/1500 train_time:174.579s step_avg:491.77ms
step:356/1500 train_time:175.066s step_avg:491.76ms
step:357/1500 train_time:175.551s step_avg:491.74ms
step:358/1500 train_time:176.038s step_avg:491.73ms
step:359/1500 train_time:176.525s step_avg:491.71ms
step:360/1500 train_time:177.011s step_avg:491.70ms
step:361/1500 train_time:177.496s step_avg:491.68ms
step:362/1500 train_time:177.984s step_avg:491.67ms
step:363/1500 train_time:178.471s step_avg:491.66ms
step:364/1500 train_time:178.957s step_avg:491.64ms
step:365/1500 train_time:179.444s step_avg:491.63ms
step:366/1500 train_time:179.931s step_avg:491.61ms
step:367/1500 train_time:180.416s step_avg:491.60ms
step:368/1500 train_time:180.902s step_avg:491.58ms
step:369/1500 train_time:181.387s step_avg:491.56ms
step:370/1500 train_time:181.873s step_avg:491.55ms
step:371/1500 train_time:182.361s step_avg:491.54ms
step:372/1500 train_time:182.847s step_avg:491.52ms
step:373/1500 train_time:183.331s step_avg:491.50ms
step:374/1500 train_time:183.820s step_avg:491.50ms
step:375/1500 train_time:184.305s step_avg:491.48ms
step:375/1500 val_loss:3.97320 train_time:184.316s step_avg:486.17ms
step:376/1500 train_time:184.805s step_avg:491.50ms
step:377/1500 train_time:185.290s step_avg:491.49ms
step:378/1500 train_time:185.777s step_avg:491.47ms
step:379/1500 train_time:186.264s step_avg:491.46ms
step:380/1500 train_time:186.750s step_avg:491.45ms
step:381/1500 train_time:187.256s step_avg:491.49ms
step:382/1500 train_time:187.742s step_avg:491.47ms
step:383/1500 train_time:188.227s step_avg:491.46ms
step:384/1500 train_time:188.716s step_avg:491.45ms
