Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_4gpu --set train_steps=3325 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=input
W0514 12:14:23.556000 659778 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 12:14:23.556000 659778 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 12:14:23.556000 659778 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 12:14:23.556000 659778 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_4gpu/train.log
step:99/3325 train_time:66.896s step_avg:675.71ms
step:100/3325 train_time:67.553s step_avg:675.53ms
step:101/3325 train_time:68.216s step_avg:675.41ms
step:102/3325 train_time:68.876s step_avg:675.25ms
step:103/3325 train_time:69.540s step_avg:675.14ms
step:104/3325 train_time:70.198s step_avg:674.98ms
step:105/3325 train_time:70.863s step_avg:674.89ms
step:106/3325 train_time:71.529s step_avg:674.80ms
step:107/3325 train_time:72.194s step_avg:674.71ms
step:108/3325 train_time:72.859s step_avg:674.62ms
step:109/3325 train_time:73.520s step_avg:674.49ms
step:110/3325 train_time:74.187s step_avg:674.42ms
step:111/3325 train_time:74.845s step_avg:674.28ms
step:112/3325 train_time:75.509s step_avg:674.19ms
step:113/3325 train_time:76.181s step_avg:674.17ms
step:114/3325 train_time:76.848s step_avg:674.10ms
step:115/3325 train_time:77.508s step_avg:673.98ms
step:116/3325 train_time:78.176s step_avg:673.93ms
step:117/3325 train_time:78.833s step_avg:673.79ms
step:118/3325 train_time:79.503s step_avg:673.75ms
step:119/3325 train_time:80.164s step_avg:673.65ms
step:120/3325 train_time:80.834s step_avg:673.62ms
step:121/3325 train_time:81.494s step_avg:673.50ms
step:122/3325 train_time:82.163s step_avg:673.47ms
step:123/3325 train_time:82.822s step_avg:673.35ms
step:124/3325 train_time:83.486s step_avg:673.28ms
step:125/3325 train_time:84.148s step_avg:673.19ms
step:125/3325 val_loss:4.80391 train_time:84.159s step_avg:673.27ms
step:126/3325 train_time:84.820s step_avg:673.17ms
step:127/3325 train_time:85.479s step_avg:673.06ms
step:128/3325 train_time:86.146s step_avg:673.02ms
step:129/3325 train_time:86.812s step_avg:672.96ms
step:130/3325 train_time:87.474s step_avg:672.88ms
step:131/3325 train_time:88.138s step_avg:672.81ms
step:132/3325 train_time:88.800s step_avg:672.73ms
step:133/3325 train_time:89.470s step_avg:672.71ms
step:134/3325 train_time:90.129s step_avg:672.61ms
step:135/3325 train_time:90.793s step_avg:672.54ms
step:136/3325 train_time:91.457s step_avg:672.48ms
step:137/3325 train_time:92.127s step_avg:672.46ms
step:138/3325 train_time:92.787s step_avg:672.37ms
step:139/3325 train_time:93.455s step_avg:672.34ms
step:140/3325 train_time:94.119s step_avg:672.28ms
step:141/3325 train_time:94.784s step_avg:672.23ms
step:142/3325 train_time:95.458s step_avg:672.24ms
step:143/3325 train_time:96.118s step_avg:672.15ms
step:144/3325 train_time:96.780s step_avg:672.08ms
step:145/3325 train_time:97.448s step_avg:672.06ms
step:146/3325 train_time:98.108s step_avg:671.97ms
step:147/3325 train_time:98.774s step_avg:671.93ms
step:148/3325 train_time:99.439s step_avg:671.89ms
step:149/3325 train_time:100.107s step_avg:671.86ms
step:150/3325 train_time:100.770s step_avg:671.80ms
step:151/3325 train_time:101.434s step_avg:671.75ms
step:152/3325 train_time:102.095s step_avg:671.68ms
step:153/3325 train_time:102.760s step_avg:671.63ms
step:154/3325 train_time:103.424s step_avg:671.59ms
step:155/3325 train_time:104.088s step_avg:671.53ms
step:156/3325 train_time:104.752s step_avg:671.49ms
step:157/3325 train_time:105.415s step_avg:671.44ms
step:158/3325 train_time:106.077s step_avg:671.37ms
step:159/3325 train_time:106.740s step_avg:671.32ms
step:160/3325 train_time:107.402s step_avg:671.26ms
step:161/3325 train_time:108.070s step_avg:671.24ms
step:162/3325 train_time:108.733s step_avg:671.19ms
step:163/3325 train_time:109.395s step_avg:671.13ms
step:164/3325 train_time:110.057s step_avg:671.08ms
step:165/3325 train_time:110.721s step_avg:671.03ms
step:166/3325 train_time:111.384s step_avg:670.99ms
step:167/3325 train_time:112.053s step_avg:670.97ms
step:168/3325 train_time:112.714s step_avg:670.92ms
step:169/3325 train_time:113.377s step_avg:670.87ms
step:170/3325 train_time:114.044s step_avg:670.85ms
step:171/3325 train_time:114.710s step_avg:670.82ms
step:172/3325 train_time:115.372s step_avg:670.77ms
step:173/3325 train_time:116.036s step_avg:670.73ms
step:174/3325 train_time:116.701s step_avg:670.69ms
step:175/3325 train_time:117.365s step_avg:670.66ms
step:176/3325 train_time:118.030s step_avg:670.63ms
step:177/3325 train_time:118.693s step_avg:670.58ms
step:178/3325 train_time:119.356s step_avg:670.54ms
step:179/3325 train_time:120.018s step_avg:670.49ms
step:180/3325 train_time:120.681s step_avg:670.45ms
step:181/3325 train_time:121.351s step_avg:670.45ms
step:182/3325 train_time:122.012s step_avg:670.40ms
step:183/3325 train_time:122.676s step_avg:670.36ms
step:184/3325 train_time:123.341s step_avg:670.33ms
step:185/3325 train_time:124.006s step_avg:670.30ms
step:186/3325 train_time:124.671s step_avg:670.27ms
step:187/3325 train_time:125.334s step_avg:670.24ms
step:188/3325 train_time:125.998s step_avg:670.20ms
step:189/3325 train_time:126.666s step_avg:670.19ms
step:190/3325 train_time:127.331s step_avg:670.16ms
step:191/3325 train_time:128.147s step_avg:670.93ms
step:192/3325 train_time:128.817s step_avg:670.92ms
step:193/3325 train_time:129.478s step_avg:670.87ms
