Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/output_1500_4gpu --set train_steps=1500 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=output
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/output_1500_4gpu/train.log
step:99/1500 train_time:67.873s step_avg:685.59ms
step:100/1500 train_time:68.538s step_avg:685.38ms
step:101/1500 train_time:69.207s step_avg:685.22ms
step:102/1500 train_time:69.873s step_avg:685.03ms
step:103/1500 train_time:70.539s step_avg:684.84ms
step:104/1500 train_time:71.208s step_avg:684.69ms
step:105/1500 train_time:71.874s step_avg:684.51ms
step:106/1500 train_time:72.539s step_avg:684.33ms
step:107/1500 train_time:73.209s step_avg:684.19ms
step:108/1500 train_time:73.873s step_avg:684.01ms
step:109/1500 train_time:74.538s step_avg:683.83ms
step:110/1500 train_time:75.207s step_avg:683.70ms
step:111/1500 train_time:75.869s step_avg:683.50ms
step:112/1500 train_time:76.535s step_avg:683.35ms
step:113/1500 train_time:77.199s step_avg:683.18ms
step:114/1500 train_time:77.868s step_avg:683.05ms
step:115/1500 train_time:78.532s step_avg:682.89ms
step:116/1500 train_time:79.197s step_avg:682.73ms
step:117/1500 train_time:79.860s step_avg:682.57ms
step:118/1500 train_time:80.533s step_avg:682.48ms
step:119/1500 train_time:81.195s step_avg:682.31ms
step:120/1500 train_time:81.860s step_avg:682.17ms
step:121/1500 train_time:82.531s step_avg:682.07ms
step:122/1500 train_time:83.195s step_avg:681.92ms
step:123/1500 train_time:83.858s step_avg:681.77ms
step:124/1500 train_time:84.525s step_avg:681.65ms
step:125/1500 train_time:85.191s step_avg:681.53ms
step:125/1500 val_loss:4.81992 train_time:85.202s step_avg:681.61ms
step:126/1500 train_time:85.870s step_avg:681.50ms
step:127/1500 train_time:86.529s step_avg:681.33ms
step:128/1500 train_time:87.201s step_avg:681.26ms
step:129/1500 train_time:87.865s step_avg:681.12ms
step:130/1500 train_time:88.529s step_avg:680.99ms
step:131/1500 train_time:89.193s step_avg:680.86ms
step:132/1500 train_time:89.859s step_avg:680.75ms
step:133/1500 train_time:90.523s step_avg:680.63ms
step:134/1500 train_time:91.188s step_avg:680.51ms
step:135/1500 train_time:91.850s step_avg:680.37ms
step:136/1500 train_time:92.513s step_avg:680.25ms
step:137/1500 train_time:93.183s step_avg:680.16ms
step:138/1500 train_time:93.847s step_avg:680.05ms
step:139/1500 train_time:94.511s step_avg:679.94ms
step:140/1500 train_time:95.181s step_avg:679.86ms
step:141/1500 train_time:95.844s step_avg:679.75ms
step:142/1500 train_time:96.511s step_avg:679.65ms
step:143/1500 train_time:97.177s step_avg:679.56ms
step:144/1500 train_time:97.842s step_avg:679.46ms
step:145/1500 train_time:98.508s step_avg:679.36ms
step:146/1500 train_time:99.173s step_avg:679.26ms
step:147/1500 train_time:99.839s step_avg:679.18ms
step:148/1500 train_time:100.505s step_avg:679.09ms
step:149/1500 train_time:101.169s step_avg:678.99ms
step:150/1500 train_time:101.832s step_avg:678.88ms
step:151/1500 train_time:102.498s step_avg:678.80ms
step:152/1500 train_time:103.162s step_avg:678.70ms
step:153/1500 train_time:103.826s step_avg:678.60ms
step:154/1500 train_time:104.492s step_avg:678.52ms
step:155/1500 train_time:105.154s step_avg:678.41ms
step:156/1500 train_time:105.818s step_avg:678.32ms
step:157/1500 train_time:106.485s step_avg:678.25ms
step:158/1500 train_time:107.148s step_avg:678.15ms
step:159/1500 train_time:107.810s step_avg:678.05ms
step:160/1500 train_time:108.475s step_avg:677.97ms
step:161/1500 train_time:109.142s step_avg:677.90ms
step:162/1500 train_time:109.806s step_avg:677.82ms
step:163/1500 train_time:110.469s step_avg:677.73ms
step:164/1500 train_time:111.134s step_avg:677.64ms
step:165/1500 train_time:111.803s step_avg:677.59ms
step:166/1500 train_time:112.465s step_avg:677.50ms
step:167/1500 train_time:113.130s step_avg:677.42ms
step:168/1500 train_time:113.793s step_avg:677.34ms
step:169/1500 train_time:114.459s step_avg:677.27ms
step:170/1500 train_time:115.120s step_avg:677.17ms
step:171/1500 train_time:115.787s step_avg:677.12ms
step:172/1500 train_time:116.449s step_avg:677.03ms
step:173/1500 train_time:117.111s step_avg:676.94ms
step:174/1500 train_time:117.773s step_avg:676.85ms
step:175/1500 train_time:118.441s step_avg:676.81ms
step:176/1500 train_time:119.103s step_avg:676.72ms
step:177/1500 train_time:119.769s step_avg:676.66ms
step:178/1500 train_time:120.429s step_avg:676.57ms
step:179/1500 train_time:121.095s step_avg:676.51ms
step:180/1500 train_time:121.760s step_avg:676.45ms
step:181/1500 train_time:122.422s step_avg:676.36ms
step:182/1500 train_time:123.087s step_avg:676.30ms
step:183/1500 train_time:123.749s step_avg:676.23ms
step:184/1500 train_time:124.412s step_avg:676.15ms
step:185/1500 train_time:125.076s step_avg:676.09ms
step:186/1500 train_time:125.743s step_avg:676.04ms
step:187/1500 train_time:126.406s step_avg:675.97ms
step:188/1500 train_time:127.070s step_avg:675.91ms
step:189/1500 train_time:127.733s step_avg:675.84ms
step:190/1500 train_time:128.398s step_avg:675.78ms
step:191/1500 train_time:129.215s step_avg:676.52ms
step:192/1500 train_time:129.880s step_avg:676.46ms
step:193/1500 train_time:130.544s step_avg:676.39ms
step:194/1500 train_time:131.212s step_avg:676.35ms
step:195/1500 train_time:131.873s step_avg:676.27ms
step:196/1500 train_time:132.545s step_avg:676.25ms
step:197/1500 train_time:133.209s step_avg:676.19ms
step:198/1500 train_time:133.877s step_avg:676.15ms
step:199/1500 train_time:134.538s step_avg:676.07ms
step:200/1500 train_time:135.206s step_avg:676.03ms
step:201/1500 train_time:135.872s step_avg:675.98ms
step:202/1500 train_time:136.540s step_avg:675.94ms
step:203/1500 train_time:137.207s step_avg:675.89ms
step:204/1500 train_time:137.875s step_avg:675.86ms
step:205/1500 train_time:138.537s step_avg:675.79ms
step:206/1500 train_time:139.207s step_avg:675.76ms
step:207/1500 train_time:139.869s step_avg:675.70ms
step:208/1500 train_time:140.534s step_avg:675.64ms
step:209/1500 train_time:141.201s step_avg:675.60ms
step:210/1500 train_time:141.864s step_avg:675.54ms
step:211/1500 train_time:142.528s step_avg:675.49ms
step:212/1500 train_time:143.191s step_avg:675.43ms
step:213/1500 train_time:143.855s step_avg:675.38ms
step:214/1500 train_time:144.520s step_avg:675.33ms
step:215/1500 train_time:145.185s step_avg:675.28ms
step:216/1500 train_time:145.846s step_avg:675.21ms
step:217/1500 train_time:146.510s step_avg:675.16ms
step:218/1500 train_time:147.173s step_avg:675.11ms
step:219/1500 train_time:147.838s step_avg:675.06ms
step:220/1500 train_time:148.504s step_avg:675.02ms
step:221/1500 train_time:149.168s step_avg:674.97ms
step:222/1500 train_time:149.829s step_avg:674.90ms
step:223/1500 train_time:150.496s step_avg:674.87ms
step:224/1500 train_time:151.158s step_avg:674.81ms
step:225/1500 train_time:151.825s step_avg:674.78ms
step:226/1500 train_time:152.491s step_avg:674.74ms
step:227/1500 train_time:153.155s step_avg:674.69ms
step:228/1500 train_time:153.816s step_avg:674.63ms
step:229/1500 train_time:154.489s step_avg:674.63ms
step:230/1500 train_time:155.154s step_avg:674.58ms
step:231/1500 train_time:155.815s step_avg:674.52ms
step:232/1500 train_time:156.485s step_avg:674.51ms
step:233/1500 train_time:157.149s step_avg:674.46ms
step:234/1500 train_time:157.820s step_avg:674.44ms
step:235/1500 train_time:158.484s step_avg:674.40ms
step:236/1500 train_time:159.152s step_avg:674.37ms
step:237/1500 train_time:159.813s step_avg:674.32ms
step:238/1500 train_time:160.485s step_avg:674.31ms
step:239/1500 train_time:161.143s step_avg:674.24ms
step:240/1500 train_time:161.810s step_avg:674.21ms
step:241/1500 train_time:162.476s step_avg:674.17ms
step:242/1500 train_time:163.146s step_avg:674.16ms
step:243/1500 train_time:163.813s step_avg:674.13ms
step:244/1500 train_time:164.477s step_avg:674.08ms
step:245/1500 train_time:165.145s step_avg:674.06ms
step:246/1500 train_time:165.810s step_avg:674.02ms
step:247/1500 train_time:166.477s step_avg:673.99ms
step:248/1500 train_time:167.142s step_avg:673.96ms
step:249/1500 train_time:167.805s step_avg:673.91ms
step:250/1500 train_time:168.469s step_avg:673.88ms
step:250/1500 val_loss:4.17669 train_time:168.480s step_avg:666.22ms
step:251/1500 train_time:169.145s step_avg:673.88ms
step:252/1500 train_time:169.803s step_avg:673.82ms
step:253/1500 train_time:170.468s step_avg:673.79ms
step:254/1500 train_time:171.130s step_avg:673.74ms
step:255/1500 train_time:171.795s step_avg:673.71ms
step:256/1500 train_time:172.459s step_avg:673.67ms
step:257/1500 train_time:173.120s step_avg:673.62ms
step:258/1500 train_time:173.785s step_avg:673.58ms
step:259/1500 train_time:174.445s step_avg:673.53ms
step:260/1500 train_time:175.108s step_avg:673.49ms
step:261/1500 train_time:175.775s step_avg:673.47ms
step:262/1500 train_time:176.437s step_avg:673.42ms
step:263/1500 train_time:177.101s step_avg:673.39ms
step:264/1500 train_time:177.764s step_avg:673.35ms
step:265/1500 train_time:178.424s step_avg:673.30ms
step:266/1500 train_time:179.092s step_avg:673.28ms
step:267/1500 train_time:179.753s step_avg:673.23ms
step:268/1500 train_time:180.416s step_avg:673.19ms
step:269/1500 train_time:181.076s step_avg:673.15ms
step:270/1500 train_time:181.740s step_avg:673.11ms
step:271/1500 train_time:182.403s step_avg:673.07ms
step:272/1500 train_time:183.066s step_avg:673.04ms
step:273/1500 train_time:183.729s step_avg:673.00ms
step:274/1500 train_time:184.396s step_avg:672.98ms
step:275/1500 train_time:185.055s step_avg:672.93ms
step:276/1500 train_time:185.719s step_avg:672.89ms
step:277/1500 train_time:186.381s step_avg:672.86ms
step:278/1500 train_time:187.044s step_avg:672.82ms
step:279/1500 train_time:187.705s step_avg:672.78ms
step:280/1500 train_time:188.372s step_avg:672.76ms
step:281/1500 train_time:189.033s step_avg:672.72ms
step:282/1500 train_time:189.697s step_avg:672.68ms
step:283/1500 train_time:190.361s step_avg:672.65ms
step:284/1500 train_time:191.022s step_avg:672.61ms
step:285/1500 train_time:191.688s step_avg:672.59ms
step:286/1500 train_time:192.352s step_avg:672.56ms
step:287/1500 train_time:193.012s step_avg:672.52ms
step:288/1500 train_time:193.678s step_avg:672.49ms
step:289/1500 train_time:194.338s step_avg:672.45ms
step:290/1500 train_time:195.004s step_avg:672.43ms
step:291/1500 train_time:195.666s step_avg:672.39ms
step:292/1500 train_time:196.330s step_avg:672.36ms
step:293/1500 train_time:196.995s step_avg:672.34ms
step:294/1500 train_time:197.657s step_avg:672.30ms
step:295/1500 train_time:198.318s step_avg:672.27ms
step:296/1500 train_time:198.981s step_avg:672.23ms
step:297/1500 train_time:199.644s step_avg:672.20ms
step:298/1500 train_time:200.304s step_avg:672.16ms
step:299/1500 train_time:200.970s step_avg:672.14ms
step:300/1500 train_time:201.634s step_avg:672.11ms
step:301/1500 train_time:202.297s step_avg:672.08ms
step:302/1500 train_time:202.961s step_avg:672.06ms
step:303/1500 train_time:203.623s step_avg:672.02ms
step:304/1500 train_time:204.286s step_avg:671.99ms
step:305/1500 train_time:204.951s step_avg:671.97ms
step:306/1500 train_time:205.610s step_avg:671.93ms
step:307/1500 train_time:206.277s step_avg:671.91ms
step:308/1500 train_time:206.937s step_avg:671.87ms
step:309/1500 train_time:207.600s step_avg:671.85ms
step:310/1500 train_time:208.262s step_avg:671.81ms
step:311/1500 train_time:208.924s step_avg:671.78ms
step:312/1500 train_time:209.587s step_avg:671.75ms
step:313/1500 train_time:210.253s step_avg:671.73ms
step:314/1500 train_time:210.912s step_avg:671.70ms
step:315/1500 train_time:211.579s step_avg:671.68ms
step:316/1500 train_time:212.239s step_avg:671.64ms
step:317/1500 train_time:212.902s step_avg:671.62ms
step:318/1500 train_time:213.566s step_avg:671.59ms
step:319/1500 train_time:214.230s step_avg:671.57ms
step:320/1500 train_time:214.897s step_avg:671.55ms
step:321/1500 train_time:215.558s step_avg:671.52ms
step:322/1500 train_time:216.223s step_avg:671.50ms
step:323/1500 train_time:216.886s step_avg:671.47ms
step:324/1500 train_time:217.550s step_avg:671.45ms
step:325/1500 train_time:218.215s step_avg:671.43ms
step:326/1500 train_time:218.874s step_avg:671.39ms
step:327/1500 train_time:219.539s step_avg:671.37ms
step:328/1500 train_time:220.202s step_avg:671.35ms
step:329/1500 train_time:220.865s step_avg:671.32ms
step:330/1500 train_time:221.526s step_avg:671.29ms
step:331/1500 train_time:222.194s step_avg:671.28ms
step:332/1500 train_time:222.854s step_avg:671.25ms
step:333/1500 train_time:223.515s step_avg:671.22ms
step:334/1500 train_time:224.179s step_avg:671.20ms
step:335/1500 train_time:224.841s step_avg:671.17ms
